id,name,nationality,sex,dob,height,weight,sport,gold,silver,bronze
382571888,Aaron Younger,AUS,male,9/25/91,1.93,100,aquatics,0,0,0
259675127,Abdoulkarim Fawziya,CMR,female,03/01/1989,1.8,67,volleyball,0,0,0
256805041,Adam Decker,HUN,male,2/29/84,2.03,115,aquatics,0,0,0
46940649,Adas Juskevicius,LTU,male,01/03/1989,1.94,90,basketball,0,0,0
993710181,Adenizia da Silva,BRA,female,12/18/86,1.87,65,volleyball,0,0,0
787208883,Adrian Baches,BRA,male,04/07/1990,1.84,83,aquatics,0,0,0
28097741,Agatha Bednarczuk,BRA,female,6/22/83,1.82,70,volleyball,0,1,0
248085477,Aidan Roach,AUS,male,09/07/1990,1.87,88,aquatics,0,0,0
356290857,Ailun Guo,CHN,male,11/14/93,1.92,85,basketball,0,0,0
816408353,Akira Yanase,JPN,male,08/11/1988,1.91,95,aquatics,0,0,0
249203070,Alade Aminu,NGR,male,9/14/87,2.1,102,basketball,0,0,0
930879907,Albert Espanol Lifante,ESP,male,10/29/85,1.89,86,aquatics,0,0,0
220269839,Alberto Munarriz Egana,ESP,male,5/19/94,1.98,105,aquatics,0,0,0
299839075,Aleksandar IVOVIC,MNE,male,2/24/86,1.97,107,aquatics,0,0,0
39610779,Aleksandar RADOVIC,MNE,male,2/24/87,1.91,98,aquatics,0,0,0
213338722,Alessandro Nora,ITA,male,5/24/87,1.91,85,aquatics,0,0,1
346410285,Alessandro Velotto,ITA,male,02/12/1995,1.86,85,aquatics,0,0,1
5076328,Alessia Gennari,ITA,female,11/03/1991,1.84,68,volleyball,0,0,0
488353513,Alessia Orro,ITA,female,7/18/98,1.8,74,volleyball,0,0,0
178787882,Alex Abrines,ESP,male,08/01/1993,1.98,93,basketball,0,0,1
334218519,Alex Bowen,USA,male,09/04/1993,1.96,102,aquatics,0,0,0
566695148,Alex Garcia,BRA,male,03/04/1980,1.92,102,basketball,0,0,0
531765497,Alex Obert,USA,male,12/18/91,1.96,105,aquatics,0,0,0
